Name,Platform,Booking URL,Google Rating,Google Reviews,Address,Website,Phone,Price Level
anntremet cake,opentable,https://www.opentable.com/r/anntremet-cake-new-york,4.3,250,,,,
aquarelle,opentable,https://www.opentable.com/aquarelle,4.8,884,,,,
arthur & sons,opentable,https://www.opentable.com/r/arthur-and-sons-new-york,4,922,,,,
au za'atar,opentable,https://www.opentable.com/r/au-zaatar-new-york,4.5,2381,,,,
baccarat hotel,opentable,https://www.opentable.com/grand-salon-and-bar-at-baccarat-hotel,4.1,295,,,,
bar miller,opentable,https://www.opentable.com/bar-miller,4.9,56,,,,
bar pitti,opentable,https://www.opentable.com/bar-pitti,3.8,1756,,,,
benihana,opentable,https://www.opentable.com/benihana,4.3,6126,,,,
bernies,opentable,https://www.opentable.com/r/bernies-brooklyn,4.6,603,,,,
blue ribbon sushi,opentable,https://www.opentable.com/blue-ribbon-sushi,4.5,1406,,,,
brooklyn winery,opentable,https://www.opentable.com/r/brookvin-brooklyn,4.6,298,,,,
budda kitchen and bar,opentable,https://www.opentable.com/r/budda-kitchen-and-bar-new-york,4.6,245,,,,
cacio e pepe,opentable,https://www.opentable.com/cacio-e-pepe,4.2,740,,,,
cactus wren,opentable,https://www.opentable.com/r/cactus-wren-new-york,4.6,113,,,,
cafe boulud,opentable,https://www.opentable.com/cafe-boulud,4.5,900,,,,
café boulud,opentable,https://www.opentable.com/cafe-boulud,4.5,900,,,,
café sabarsky,opentable,https://www.opentable.com/cafe-sabarsky,4.3,1235,,,,
central park tavern,opentable,https://www.opentable.com/r/central-park-tavern-new-york,4.8,124,,,,
cheeseboat,opentable,https://www.opentable.com/r/cheeseboat-hells-kitchen-new-york,4.7,702,,,,
chelsea living room,opentable,https://www.opentable.com/r/chelsea-living-room-new-york,4.5,159,,,,
cherry on top,opentable,https://www.opentable.com/r/cherry-on-top-brooklyn,4.6,127,,,,
cocktail bar,opentable,https://www.opentable.com/r/bees-knees-cocktail-bar-and-restaurant-brooklyn,4.7,507,,,,
crab house,opentable,https://www.opentable.com/r/crab-house-times-square-new-york,4.3,2367,,,,
dear strangers,opentable,https://www.opentable.com/r/dear-strangers-new-york,4.7,180,,,,
eavesdrop,opentable,https://www.opentable.com/r/eavesdrop-brooklyn,4.4,475,,,,
estiatorio milos,opentable,https://www.opentable.com/estiatorio-milos-midtown,4.5,2318,,,,
experimental cocktail club,resy,https://resy.com/cities/ny/experimental-cocktail-club,4.6,110,"6 W 24th St, New York, NY 10010, USA",https://www.experimentalcocktailclub.com/new-york,,
extra virgin,opentable,https://www.opentable.com/extra-virgin,4,1011,,,,
flex mussels,opentable,https://www.opentable.com/flex-mussels,4.5,1166,,,,
futago soho,opentable,https://www.opentable.com/r/izakaya-futago-new-york,4.7,205,,,,
gan-hoo bbq,opentable,https://www.opentable.com/r/gan-hoo-bbq-queens,4.9,686,,,,
godunk,opentable,https://www.opentable.com/r/godunk-nyc-new-york,5,673,,,,
golden wuish,opentable,https://www.opentable.com/r/golden-wuish-new-york-2,4.4,484,,,,
good friends,opentable,https://www.opentable.com/r/good-friends,4.1,59,,,,
great wall restaurant,opentable,https://www.opentable.com/r/great-wall-lebanon,4,286,,,,
hole in the wall,opentable,https://www.opentable.com/r/hole-in-the-wall-fidi-new-york,4.7,3483,,,,
jackdaw,opentable,https://www.opentable.com/r/the-jackdaw-conwy,4.3,676,,,,
jin ramen,opentable,https://www.opentable.com/r/jin-ramen-new-york-2,4.4,1677,,,,
kyu,opentable,https://www.opentable.com/r/kyu-nyc-new-york,4.4,730,,,,
la noxe,opentable,https://www.opentable.com/r/la-noxe-new-york,3.9,293,,,,
leo,opentable,https://www.opentable.com/r/leons-new-york-city,4.4,591,,,,
leonessa,resy,https://resy.com/cities/ny/leonessa,3.8,38,"102 N End Ave, New York, NY 10282, USA",https://www.leonessarooftop.com/?y_source=1_MjAwNjA4MzA3My03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,(212) 945-0100,
lighthouse rooftop,opentable,https://www.opentable.com/r/lighthouse-rooftop-long-island-city,4.1,880,,,,
little more,opentable,https://www.opentable.com/r/little-hen-new-york,4.4,89,,,,
maison close,opentable,https://www.opentable.com/r/maison-close-new-york,4.8,1625,,,,
malka,opentable,https://www.opentable.com/r/malka-new-york,4.6,461,,,,
manuela,opentable,https://www.opentable.com/r/manuela-new-york,4.3,193,,,,
members only,opentable,https://www.opentable.com/r/members-only-west-village-new-york,5,32,,,,
mexican grill,opentable,https://www.opentable.com/r/el-patron-mexican-grill-queens-county,4.6,529,,,,
mexican restaurant,opentable,https://www.opentable.com/r/rosa-mexicano-lincoln-center-new-york-3,4.6,529,,,,
mezcali,opentable,https://www.opentable.com/r/mezcali-new-york,4.7,2110,,,,
mitr thai,opentable,https://www.opentable.com/r/mitr-thai-restaurant-new-york,4.9,8615,,,,
motel no tell,opentable,https://www.opentable.com/r/motel-no-tell-new-york,4.5,251,,,,
mountain house,opentable,https://www.opentable.com/r/mountain-house-woodside-2,4.8,740,,,,
musaafer,opentable,https://www.opentable.com/musaafer,4.7,890,,,,
myrtle thai,opentable,https://www.opentable.com/r/myrtle-thai-brooklyn,4.8,3761,,,,
nemesis,opentable,https://www.opentable.com/r/nemesis-new-york,4.8,573,,,,
nomad,opentable,https://www.opentable.com/r/little-ned-nomad-new-york,4.8,1530,,,,
nonna dora's pasta bar,NONE,,4.3,73,"200 Church St, New York, NY 10013, USA",http://www.nonnadoras.com/,(212) 389-6022,
nonono,opentable,https://www.opentable.com/r/nonono-new-york,4.5,1900,,,,
obvio,opentable,https://www.opentable.com/r/obvio-new-york,4.3,146,,,,
ootoya,opentable,https://www.opentable.com/r/ootoya-chelsea-new-york,4.3,1955,,,,
orso,opentable,https://www.opentable.com/orso,4.5,285,,,,
paulie gees,opentable,https://www.opentable.com/r/paulie-gees-brooklyn,4.5,1891,,,,
pico de gallo,opentable,https://www.opentable.com/r/pico-de-gallo-bar-and-kitchen-new-york,4.4,649,,,,
porter house bar and grill,opentable,https://www.opentable.com/porter-house-bar-and-grill,4.3,1191,,,,
prime no. 7,opentable,https://www.opentable.com/r/prime-no-7-long-island-city,4.8,1191,,,,
raku,opentable,https://www.opentable.com/r/raku-new-york,4.4,256,,,,
reading room,opentable,https://www.opentable.com/r/the-reading-room-new-york,4.4,318,,,,
red room,opentable,https://www.opentable.com/r/the-red-room-new-york,4.8,35,,,,
rincón melania,opentable,https://www.opentable.com/r/rincon-melania-queens,4.6,1128,,,,
rooftop bar,opentable,https://www.opentable.com/r/elsie-rooftop-new-york,4.9,2146,,,,
ruta oaxaca,opentable,https://www.opentable.com/r/ruta-oaxaca-brooklyn,4.5,848,,,,
sappe,opentable,https://www.opentable.com/r/sappeisan-new-york,4.9,4906,,,,
shaking crab,opentable,https://www.opentable.com/r/shaking-crab-hells-kitchen-new-york,4.5,507,,,,
sky lounge,opentable,https://www.opentable.com/r/42nd-and-sky-lounge-hilton-times-square-new-york,4,1022,,,,
something else,opentable,https://www.opentable.com/r/something-else-liverpool,4.4,41,,,,
spice brothers,opentable,https://www.opentable.com/r/spice-brothers-new-york,4.3,227,,,,
sukh,opentable,https://www.opentable.com/r/sukh-new-york,4.8,1076,,,,
sushi bar,opentable,https://www.opentable.com/r/crave-sushi-bar-new-york,4.8,194,,,,
sushi kai,opentable,https://www.opentable.com/r/sushi-kai-new-york,4.6,167,,,,
sweet spot,opentable,https://www.opentable.com/r/sweet-spot-astoria,4.3,175,,,,
tanner smiths,opentable,https://www.opentable.com/r/tanner-smiths-new-york,4.4,3292,,,,
tao downtown,opentable,https://www.opentable.com/tao-downtown,4.3,5430,,,,
the attic,opentable,https://www.opentable.com/r/the-attic-queens,4.9,3066,,,,
the basement,opentable,https://www.opentable.com/the-basement,4.6,219,,,,
the blue dog,opentable,https://www.opentable.com/r/blue-dog-cookhouse-and-bar-new-york,4.4,2880,,,,
the bowery hotel,NONE,,4.3,1093,"335 Bowery, New York, NY 10003, USA",http://www.theboweryhotel.com/dining/gemma,(212) 505-7300,2
the consulate,opentable,https://www.opentable.com/r/the-consulate-new-york,4.7,1189,,,,
the corner,opentable,https://www.opentable.com/r/corner-bar-new-york,4.4,465,,,,
the highlight room,opentable,https://www.opentable.com/r/the-highlight-room-ny-new-york,3.5,347,,,,
the long hall,opentable,https://www.opentable.com/r/the-long-hall-new-york,4.5,780,,,,
the office of mr. moto,opentable,https://www.opentable.com/r/the-office-of-mr-moto-new-york,4.5,186,,,,
the palace,opentable,https://www.opentable.com/r/palace-santa-fe,4.1,689,,,,
the parlor,opentable,https://www.opentable.com/r/parlor-new-york,4.7,934,,,,
the portrait bar,resy,https://resy.com/cities/ny/the-portrait-bar,4.5,266,"1 W 28th St, New York, NY 10001, USA",https://theportraitbar.com/,,
the river,opentable,https://www.opentable.com/r/mezze-on-the-river-new-york,4.4,2477,,,,
the skylark,opentable,https://www.opentable.com/r/the-skylark-nyc,4.4,2021,,,,
the spot,opentable,https://www.opentable.com/r/the-spot-bronx,4.5,3137,,,,
the terrace,opentable,https://www.opentable.com/r/the-terrace-and-outdoor-gardens-at-the-edition-new-york,4.4,942,,,,
the three monkeys,opentable,https://www.opentable.com/r/the-three-monkeys-bar-new-york,4.4,2041,,,,
the tusk bar,opentable,https://www.opentable.com/r/brass-and-the-tusk-bar-new-york,4.5,130,,,,
the yacht club,opentable,https://www.opentable.com/r/the-yacht-club-new-york,4.3,75,,,,
thep thai,opentable,https://www.opentable.com/r/thep-thai-restaurant-new-york,4.7,5969,,,,
tigre,resy,https://resy.com/cities/ny/tigre,4.4,329,"105 Rivington St, New York, NY 10002, USA",https://tigrenyc.com/,(646) 951-2780,
turtle bay tavern,opentable,https://www.opentable.com/r/taverna-by-gyro-project-new-york,4.8,292,,,,
tuscan hills,opentable,https://www.opentable.com/r/tuscan-hills,4.3,568,,,,
twilight lounge,opentable,https://www.opentable.com/r/twilight-lounge-new-york,4.9,127,,,,
