name,matched_on_ot,platform_in_booking_master,url
212 steakhouse,212 Steakhouse,unknown,
3 times,3 Times,website,http://www.3times.com/
3 times - union square,3 Times,website,http://www.3times.com/
345 cantina,345 Cantina,walk_in,
4747lic,4747 LIC,resy,https://resy.com/cities/new-york-ny/venues/4747lic
718 bistro,718 Bistro,website,https://www.718bistro.com/
abba bar & grill,Abba Bar & Grill,resy,https://resy.com/cities/new-york-ny/venues/abba-bar-and-grill
aburiya kinnosuke,Aburiya Kinnosuke,walk_in,
acre,ACRE,website,http://acrenyc.com/
adam's chicken & pocha,Adam's Chicken & Pocha,website,https://www.adamschicken.com/
agave,Agave,website,https://greenwich.agave.nyc/?y_source=1_ODEzNTIwNzgtNzE1LWxvY2F0aW9uLndlYnNpdGU=
aita trattoria,Aita Trattoria,website,https://www.aitatrattoria.com/
aji sushi,aji sushi,walk_in,
ajisai japanese fusion,Ajisai Japanese Fusion,website,https://www.ajisainy.com/
akami sushi,akami sushi,website,https://akaminy.com/
al horno lean mexican kitchen,Al Horno Lean mexican kitchen,website,https://alhornokitchen.com/?utm_source=google&utm_medium=gmb&utm_campaign=alhes
al vaporetto,Al Vaporetto,website,https://antonuccicafe81.com/pages/al-vaporetto
alachi masala,Alachi Masala,website,https://www.alachimasala.com
alvin and friends,Alvin and Friends,website,http://www.alvinandfriendsrestaurant.com/
am thai bistro,Am Thai Bistro,website,http://www.amthaibistro.com/
amaranto,Amaranto,website,http://www.amarantobklyn.com/
amazon nyc,Amazon,website,https://www.amazon.com/dp/B079QHML21/ref=as_sl_pc_tf_til?tag=nnaffiliate-20&linkCode=w00&linkId=9764e44c780158303f08dd44a70927a7&creativeASIN=B079QHML21
american cut steakhouse tribeca,American Cut Steakhouse,website,https://www.americancutsteakhouse.com
amituofo vegan cuisine,Amituofo Vegan Cuisine,website,https://www.amituofovegan.com/?fbclid=PAAaY6DCQLuuecYbvu9i0yHaGFHogvwySNwUViJsIAdyN6B82NHnYkU-OOl34
amy thai bistro,Amy Thai Bistro,website,http://amythaibistro.com/
ananda,Ananda,website,https://theanandanyc.com/
anassa taverna downtown,Anassa Taverna Downtown,resy,https://resy.com/cities/new-york-ny/venues/anassa-taverna-downtown
ancla,Ancla,website,http://anclabar.com/
andrew bellucci's pizzeria,Andrew Bellucci's Pizzeria,website,https://andrewbelluccispizzeria.com/
anemos,Anemos,website,https://anemosny.com/
angel of harlem,Angel,website,http://www.angelofharlemnyc.com/
angelina's kitchen,Angelina's Kitchen - Staten Island,website,http://angelinaskitchennyc.com/
angelina's ristorante,Angelina's Ristorante,website,http://angelinasristorante.com/
annapurna bhavan,Annapurna Bhavan,website,https://www.annapurnabhavan.com/
annie moore's,Annie Moore's,resy,https://resy.com/cities/new-york-ny/venues/annie-moores
anthony's place,Anthony's Place,website,http://anthonysplacenyc.com/
